scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body1,Body1,Body2,Body2,Body3,Body3,Tail,Tail
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/242/img0001.png,983.6831166914847,1701.507257691723,995.7656186719482,1713.324158094044,1004.7990919422804,1724.5965197696091,1013.1242814454988,1736.9566390655207,1022.9590843452847,1750.4491600131416
labeled-data/242/img0002.png,983.0077301976337,1700.703701993867,995.7158432988789,1712.5646075550292,1005.8823337798751,1724.9903181429136,1012.9423966139002,1737.9808337575198,1022.8264845815354,1749.841739318682
labeled-data/242/img0003.png,984.4197427644388,1697.314871833535,995.1510382721569,1710.8701924748632,1004.752723726431,1723.5783055761085,1012.377591587178,1737.4160287307977,1022.5440820681744,1749.8417393186821
labeled-data/242/img0004.png,985.2669503045217,1695.90285926673,995.9982458122398,1710.8701924748632,1005.0351262397921,1723.8607080894692,1012.659994100539,1737.9808337575196,1022.8264845815354,1749.2769342919598
labeled-data/242/img0036.png,995.9982458122399,1689.125198946066,994.0214282187129,1705.7869472343655,1002.493503619543,1718.777462848972,1012.9423966139001,1729.7911608700504,1023.3912896082572,1740.8048588911297
labeled-data/242/img0037.png,995.9982458122399,1689.125198946066,994.0214282187129,1705.7869472343655,1002.493503619543,1718.777462848972,1012.9423966139001,1729.7911608700504,1023.3912896082572,1740.8048588911297
labeled-data/242/img0042.png,996.5630508389619,1690.25480899951,994.3038307320737,1705.504544721004,1001.928698592821,1717.9302553088883,1011.8127865604561,1729.7911608700506,1022.8264845815354,1740.8048588911297
labeled-data/242/img0043.png,996.5630508389619,1690.25480899951,994.3038307320737,1705.504544721004,1001.928698592821,1717.9302553088883,1011.8127865604561,1729.7911608700506,1022.8264845815354,1740.8048588911297
labeled-data/242/img0049.png,1003.058308646265,1682.3475386254017,996.563050838962,1698.4444818869792,999.1046734592109,1713.1294125817515,1008.9887614268462,1724.7079156295524,1021.6968745280913,1734.5920035971876
labeled-data/242/img0052.png,1004.752723726431,1681.78273359868,997.975063405767,1697.314871833535,999.669478485933,1711.7174000149464,1009.5535664535681,1723.2959030627474,1022.5440820681745,1729.7911608700506
labeled-data/242/img0053.png,1004.47032121307,1679.241110978431,997.975063405767,1697.314871833535,1000.234283512655,1711.4349975015853,1009.2711639402071,1721.3190854692205,1022.8264845815354,1727.8143432765237
