scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body1,Body1,Body2,Body2,Body3,Body3,Tail,Tail
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/141/img0314.png,1124.1236514793284,1639.3318426154258,1107.2863783762286,1642.7983400190053,1088.9634635287382,1642.798340019005,1071.6309765108413,1646.2648374225844,1055.7841312373362,1653.1978322297432
labeled-data/141/img0413.png,1161.7599090039039,1642.303126104208,1145.9130637303983,1644.2839817633962,1131.056646286487,1648.7409069965695,1115.7050149277786,1650.2265487409609,1099.362955739476,1649.7313348261637
labeled-data/141/img0452.png,1167.2072620666713,1630.417992149079,1158.7886255151213,1642.303126104208,1143.4369941564132,1647.2552652521786,1126.1045071385165,1649.2361209113667,1110.257661865011,1648.7409069965697
labeled-data/141/img0460.png,1167.2072620666713,1631.408419978673,1158.2934116003244,1642.303126104208,1143.4369941564132,1647.7504791669758,1127.5901488829077,1650.2265487409609,1111.7433036094021,1647.7504791669755
labeled-data/141/img0594.png,1238.5180657974458,1633.8844895526581,1222.6712205239405,1635.8653452118463,1208.310016994826,1639.3318426154258,1194.444027380509,1644.2839817633962,1179.5876099365973,1649.2361209113665
labeled-data/141/img0826.png,1377.6731758554156,1636.8557730414404,1361.3311166671133,1637.3509869562376,1343.9986296492166,1637.3509869562376,1329.1422122053054,1636.8557730414404,1313.2953669318,1634.3797034674553
labeled-data/141/img0951.png,1426.2041395055262,1626.4562808307026,1411.8429359764118,1634.3797034674553,1396.9865185325004,1639.827056530223,1381.1396732589951,1638.8366287006288,1363.3119723263014,1634.8749173822523
labeled-data/141/img1030.png,1454.926546563755,1629.4275643194849,1438.0892734606555,1634.8749173822525,1422.737642101947,1637.3509869562376,1406.3955829136444,1635.8653452118465,1390.5487376401388,1635.3701312970495
labeled-data/141/img1056.png,1452.4504769897696,1661.1212548664957,1442.5461986938287,1647.7504791669755,1428.6802090795113,1640.32227044502,1413.8237916356,1638.3414147858318,1395.5008767881093,1638.3414147858318
labeled-data/141/img1214.png,1510.885718935821,1704.204865453839,1495.5340875771126,1696.7766567318833,1484.1441675367805,1689.348448009927,1471.2686057520573,1680.9298114583776,1457.897830052537,1673.5016027364222
labeled-data/141/img1255.png,1532.6751311868911,1725.003849875315,1517.8187137429798,1716.089999408968,1505.4383658730533,1706.6809350278243,1492.0675901735333,1696.2814428170864,1478.2016005592159,1686.3771645211455
labeled-data/141/img1345.png,1538.6176981644555,1745.802834296791,1531.1894894425,1734.9081281712556,1524.2564946353414,1721.0421385569384,1511.3809328506181,1712.6235020053887,1496.0293014919096,1703.214437624245
labeled-data/141/img1488.png,1520.2947833169649,1758.678396081514,1530.6942755277028,1747.7836899559788,1531.1894894425,1733.9177003416617,1525.246922464935,1722.0325663865328,1517.8187137429795,1709.6522185166066
labeled-data/141/img1568.png,1484.1441675367805,1782.4486639917723,1498.505371065895,1770.0683161218462,1507.9144354470386,1759.1736099963111,1515.8378580837914,1746.793262126385,1525.2469224649353,1735.4033420860528
labeled-data/141/img1694.png,1409.3668664024265,1799.2859370948715,1427.19456733512,1794.3337979469013,1440.0701291198436,1789.8768727137278,1451.4600491601757,1782.9438779065695,1463.8403970301017,1774.5252413550195
labeled-data/141/img2007.png,1233.0707127346784,1816.6184241127683,1249.907985837778,1820.0849215163478,1264.2691893668923,1817.1136380275652,1279.6208207256004,1816.1232101979713,1295.9628799139032,1815.6279962831743
labeled-data/141/img2136.png,1214.7477978871877,1841.8743337674175,1228.118573586708,1829.4939858974913,1239.0132797122428,1817.6088519423622,1253.3744832413572,1811.6662849647978,1270.2117563444567,1811.1710710500008
labeled-data/141/img2179.png,1193.9488134657117,1849.3025424893733,1210.2908726540143,1839.3982641934324,1221.6807926943463,1830.4844137270854,1231.585070990287,1821.5705632607387,1242.9749910306193,1811.666284964798
labeled-data/141/img2503.png,1084.0113243807677,1842.3695476822147,1103.3246670578524,1845.836045085794,1117.6858705869668,1847.3216868301852,1133.5327158604723,1851.2833981485617,1145.9130637303983,1854.749895552141
labeled-data/141/img2760.png,978.0355466142001,1847.321686830185,994.3776058025026,1850.2929703189673,1010.2244510760081,1845.3408311709968,1024.090440690325,1840.8839059378236,1038.9468581342367,1842.3695476822145
labeled-data/141/img2808.png,946.3418560671893,1849.3025424893729,962.6839152554918,1845.8360450857938,979.5211883585913,1843.8551894266059,995.3680336320969,1841.3791198526205,1009.7292371612111,1841.8743337674175
labeled-data/141/img2848.png,934.4567221120602,1847.816900744982,952.7796369595509,1844.3504033414029,966.6456265738682,1841.8743337674175,981.9972579325765,1839.3982641934324,995.8632475468938,1837.912622449041
labeled-data/141/img3021.png,873.0501966772265,1859.7020347001112,883.4496888879645,1845.836045085794,899.791748076267,1841.8743337674177,915.1433794349754,1839.3982641934324,929.9997968788867,1836.42698070465
labeled-data/141/img3284.png,745.7802205743858,1774.5252413550193,760.6366380182972,1771.553957866237,776.9786972065996,1777.9917387585986,792.8255424801051,1786.410375310148,811.1484573275958,1792.3529422877127
labeled-data/141/img3572.png,781.9308363545701,1652.2074044001488,782.9212641841643,1671.0255331624367,782.4260502693671,1685.881950606348,779.9499806953821,1701.2335819650566,776.4834832918027,1717.575641153359
