scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body2,Body2,Tail,Tail
coords,x,y,x,y,x,y
labeled-data/412/img0035.png,999.3456435775217,1596.3817183362682,991.9829335566637,1626.2006939207433,995.2961530660499,1655.6515340041751
labeled-data/412/img0044.png,1000.0819145796077,1587.5464663112386,993.0873400597924,1620.3105259040567,995.2961530660499,1650.4976369895744
labeled-data/412/img0131.png,1001.5544565837793,1562.5132522403214,995.2961530660498,1592.3322278247963,993.8236110618783,1623.6237454134427
labeled-data/412/img0146.png,999.7137790785647,1563.6176587434502,993.4554755608353,1590.859685820625,992.7192045587497,1620.6786614050995
labeled-data/412/img0238.png,1006.7083535983797,1534.534954161061,998.6093725754359,1562.5132522403214,993.8236110618783,1593.804769828968
labeled-data/412/img0430.png,1024.3788576484392,1480.7871710087977,1012.2303861140234,1508.397333587015,1004.1314050910796,1538.5844446725328
labeled-data/412/img0479.png,1025.1151286505249,1470.4793769795965,1014.8073346213234,1498.0895395578139,1006.4732220268661,1526.9371125686891
labeled-data/412/img0501.png,1032.4778386713829,1460.9078539524812,1017.384283128624,1490.7268295369558,1008.7365512815409,1518.8926477941625
labeled-data/412/img0554.png,1039.472413191198,1446.550569411808,1026.2195351536534,1472.6881899858538,1014.071063619238,1500.2983525640714
labeled-data/412/img0678.png,1064.5056272621152,1422.253626342977,1041.6812261974555,1441.396672397207,1026.9558061557393,1469.7431059775106
labeled-data/412/img0840.png,1097.2696868549333,1391.3302442553734,1071.8683372829735,1407.5282063012608,1049.4120717193564,1430.352607365921
labeled-data/412/img0915.png,1112.3632423976921,1378.8136372199147,1085.1212153205176,1395.7478702678882,1061.560543253772,1415.2590518231616
labeled-data/412/img0922.png,1112.3632423976921,1378.8136372199147,1085.1212153205176,1395.7478702678882,1061.560543253772,1415.2590518231616
labeled-data/412/img0934.png,1117.8852749133357,1376.9729597147002,1091.7476543392897,1391.3302442553734,1065.9781692662868,1411.9458323137758
labeled-data/412/img1020.png,1131.506288451923,1377.709230716786,1104.2642613747482,1383.2312632324297,1074.4452857902734,1402.3743092866603
labeled-data/412/img1108.png,1151.3856055082395,1366.2970301844562,1121.9347654248077,1375.1322822094855,1091.0113833372038,1392.434650758502
labeled-data/412/img1201.png,1169.4242450593415,1360.4068621677698,1140.3415404769523,1367.7695721886273,1110.8907003935205,1378.8136372199147
labeled-data/412/img1227.png,1178.259497084371,1359.6705911656838,1146.231708493639,1365.1926236813274,1117.5171394122929,1375.8685532115715
labeled-data/412/img1248.png,1186.7266136083579,1358.5661846625553,1156.907638023883,1363.7200816771558,1125.2479849341937,1372.1871982011423
labeled-data/412/img1340.png,1204.76525315946,1352.3078811448258,1174.9462775749853,1358.1980491615125,1144.7591664894674,1365.928894683413
labeled-data/412/img1366.png,1211.3916921782322,1348.9946616354398,1182.677123096886,1356.3573716562976,1149.9130635040678,1363.7200816771558
labeled-data/412/img1370.png,1210.2872856751035,1348.258390633354,1183.045258597929,1356.7255071573413,1152.1218765103254,1362.98381067507
labeled-data/412/img1445.png,1230.9028737335059,1353.0441521469118,1201.4520336500739,1353.7804231489974,1170.5286515624705,1359.302455664641
labeled-data/412/img1448.png,1230.9028737335059,1353.0441521469118,1201.4520336500739,1353.7804231489974,1170.5286515624705,1359.302455664641
labeled-data/412/img1479.png,1239.7381257585357,1356.3573716562978,1209.5510146730176,1352.676016645869,1178.995768086457,1357.8299136604694
labeled-data/412/img1496.png,1248.941513284608,1353.4122876479546,1218.7544021990902,1353.7804231489977,1186.7266136083579,1355.2529651531693
labeled-data/412/img1522.png,1254.8316813012943,1357.8299136604694,1223.172028211605,1353.4122876479548,1191.8805106229586,1355.252965153169
labeled-data/412/img1533.png,1258.1449008106804,1359.302455664641,1225.0127057168195,1353.0441521469118,1193.721188128173,1354.8848296521262
labeled-data/412/img1728.png,1306.7387869483434,1369.6102496938424,1276.1835403617827,1361.1431331698554,1245.9964292762647,1354.5166941510834
labeled-data/412/img1733.png,1305.2662449441716,1368.8739786917565,1274.710998357611,1360.0387266667267,1244.892022773136,1354.5166941510834
labeled-data/412/img1763.png,1314.469632470244,1369.9783851948853,1282.8099793805548,1362.615675174027,1253.3591392971227,1355.989236155255
labeled-data/412/img1784.png,1316.3103099754587,1375.8685532115717,1287.2276053930693,1363.3519461761132,1257.0404943075516,1355.989236155255
labeled-data/412/img1888.png,1340.2391175432472,1382.4949922303438,1310.7882774598152,1372.1871982011428,1282.073708378469,1361.5112686708987
labeled-data/412/img1930.png,1352.7557245787057,1388.753295748073,1322.9367489942308,1376.9729597147002,1292.0133669066272,1366.2970301844562
labeled-data/412/img2070.png,1383.3109711652664,1398.6929542762314,1351.6513180755774,1389.4895667501592,1324.0411554973596,1377.3410952157433
labeled-data/412/img2101.png,1387.7285971777812,1402.3743092866603,1358.645892595392,1391.3302442553736,1330.2994590150888,1380.6543147251293
labeled-data/412/img2234.png,1413.4980822507844,1412.3139678148189,1385.5197841715237,1402.3743092866603,1356.8052150901776,1392.0665152574593
labeled-data/412/img2296.png,1429.327908795629,1415.2590518231618,1398.4045267080253,1408.2644773033467,1369.3218221256361,1396.484141269974
labeled-data/412/img2301.png,1429.6960442966717,1412.6821033158617,1400.9814752153256,1408.6326128043897,1369.6899576266792,1396.852276771017
labeled-data/412/img2302.png,1045.672058608019,1637.2352146686535,1070.778761858461,1641.5870432320635,1080.1519310719598,1663.3461860491136
labeled-data/412/img2451.png,1458.7160242786272,1421.6823312463591,1429.560366980177,1418.6256897553924,1400.1695834131908,1407.5747551342058
labeled-data/412/img2575.png,1481.7583985951442,1435.5547810899766,1453.5432463708378,1426.149730348541,1424.1524628038514,1416.2744270700339
labeled-data/412/img2585.png,1482.9340299378237,1440.2573064606943,1455.4242565191246,1426.6199828856127,1424.1524628038514,1416.5095533385695
labeled-data/412/img2607.png,1489.7526917253645,1441.9031903404455,1462.0077920381295,1428.9712455709714,1430.2657457857847,1418.6256897553926
labeled-data/412/img2790.png,1523.140621857461,1454.1297563043115,1495.16059590169,1443.3139479516608,1467.1805699459192,1431.5576345248664
labeled-data/412/img2842.png,1130.886946269934,1679.0004147853142,1095.59808003459,1659.7519422933083,1065.9762118352623,1641.1279739066686
labeled-data/412/img2861.png,1130.886946269934,1680.8336026416957,1096.9729709268763,1660.2102392574038,1065.9762118352621,1642.3782094430019
labeled-data/412/img2863.png,1130.886946269934,1680.8336026416957,1096.9729709268763,1660.2102392574038,1065.5594666564843,1641.5447190854463
labeled-data/412/img2887.png,1542.2647788286724,1463.0259121378322,1512.6343159860517,1451.779313102677,1485.1666606501917,1439.6675910648173
labeled-data/412/img3110.png,1585.5209289638851,1490.0610059723401,1556.1067468719407,1472.9748266689314,1529.2879337881086,1459.9979816283674
labeled-data/412/img3114.png,1587.4674557199698,1490.7098482243684,1557.4044313759969,1473.8399496716354,1530.3693375414891,1460.8631046310716
labeled-data/412/img3270.png,1616.2327955598862,1507.7960275277774,1588.7651402240263,1492.656374980453,1563.6765731456028,1477.5167224331285
labeled-data/412/img3282.png,1133.0869281163382,1718.06760074839,1116.098058916872,1686.170132047352,1089.2777333717638,1658.6311273400763
labeled-data/412/img3293.png,1133.0869281163382,1718.06760074839,1116.098058916872,1686.170132047352,1089.2777333717638,1658.631127340076
labeled-data/412/img3413.png,1139.3397745651057,1718.6983724224715,1118.8254275877682,1690.4911453286325,1096.4461399761274,1664.3819764483849
labeled-data/412/img3439.png,1648.3203846608735,1528.3816754621075,1615.5446746654284,1510.0432926876813,1591.1688945905087,1495.34044121392
labeled-data/412/img3466.png,1651.721427633762,1529.5826084620219,1618.4465532457762,1512.7517126960058,1591.555811734555,1496.6946512180823
labeled-data/412/img3482.png,1140.028312864184,1727.3796769839792,1121.6618298986223,1694.4954750599984,1096.870091657235,1663.0081578775066
labeled-data/412/img3575.png,1147.7202992910293,1706.438940198185,1120.2141371545995,1693.228743908979,1097.4129764362435,1664.636812214532
