scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body1,Body1,Body2,Body2,Body3,Body3,Tail,Tail
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/o1/img05093.png,522.585627200782,458.49603511202173,528.3498904494709,452.1250073108393,535.7827562175167,447.725964305261,543.4431586927479,443.5544580068679,550.420951046424,438.8520327250428
labeled-data/o1/img05168.png,514.6015795104576,466.65128714102593,521.0027328138502,460.16590813627295,527.7407889226844,454.69123754784516,534.0577165247163,449.8903725703008,540.290418425388,445.34218469683776
labeled-data/o1/img05243.png,508.3497423812114,476.07980535885287,512.6114434103805,469.10611276566686,518.293711449273,463.0364173604864,524.6216917653122,457.3541493215941,530.6913871704926,452.44673601527785
labeled-data/o1/img05524.png,502.6674743423192,515.468254264811,500.60119505544924,506.94485220647255,500.47205260002,498.8088775144221,503.0549017086072,491.06033018866,507.57488764863524,483.6992102291857
labeled-data/o1/img05893.png,516.8731444395501,553.6944210719048,511.4491613115164,547.3664407558656,506.0251781834828,540.9093179843971,501.8926196097427,533.8064829357817,500.60119505544924,525.4122233328725
labeled-data/o1/img07308.png,539.4283396031053,703.3763280756392,536.5995048651283,695.6277807498767,533.7706701271517,688.2482118681985,530.5728569450913,680.8686429865202,527.9900078365037,673.2430884754524
labeled-data/o1/img07337.png,542.1341815263871,706.4511484430051,538.4443970855477,699.4405580054106,535.2465839034872,692.183981938427,532.294756350816,684.681420242054,529.21993598345,677.3018513603755
labeled-data/o1/img07420.png,546.4389300406996,718.9964155418583,541.0272461941354,712.2318107336531,538.9363683443263,704.1142849638069,536.4765120504336,695.9967591939608,532.6637347949,688.6171903122822
labeled-data/o1/img07452.png,548.7757935198977,719.8573652447208,543.2411168586391,714.1996957687672,539.7973180471887,706.9431197017836,537.0914761239067,699.1945723760213,534.5086270153197,691.077046606175
labeled-data/o1/img07674.png,550.7436785550118,749.0066623273501,551.358642628485,741.0121293721986,549.1447719639813,733.2635820464365,546.3159372260047,725.6380275353687,543.6100953027226,717.8894802096063
labeled-data/o1/img07887.png,539.428339603105,776.0650815601707,536.1075336063496,767.5785773462406,538.690382714937,759.0920731323106,542.5031599704711,751.5895114359373,545.3319947084476,743.1030072220075
labeled-data/o1/img07973.png,537.337461753296,779.3858875569258,537.5834473826852,770.4074120842172,538.8133755296318,761.5519294262033,541.7652030823033,753.3114108416628,544.7170306349743,744.5789209983432
labeled-data/o1/img09380.png,483.7697144594583,623.926106099677,482.5500357137364,632.8225863625893,482.4782899051646,641.5038291997859,482.3347982880206,650.1133262284108,481.7608318194458,658.7945690656072
labeled-data/o1/img11076.png,508.64006566615524,478.2396781792537,515.9825884958174,481.8507549807268,523.7464036189847,484.8599856486212,531.2694802887205,487.86921631651563,538.491633891667,491.1191854378415
labeled-data/o1/img11169.png,496.60314299457775,482.03130882080063,505.4502811581873,483.1146318612425,513.9964962550073,483.65629338146346,522.3019728983954,484.9201702619792,529.8250495681312,487.4479240230104
labeled-data/o1/img11207.png,502.6216043303664,486.9062625027894,508.39932721272373,482.9942626345268,515.5612962023121,483.7766626081793,522.6028959651848,484.37850874175814,529.1630188211943,486.18404714249465
labeled-data/o1/img11529.png,507.13545033220794,528.3132764930156,505.7512042249766,519.526322942764,505.0891734780397,510.6190001657968,506.05212729176606,502.01260045561895,510.5659732936076,494.4895237858832
labeled-data/o1/img12927.png,408.5595006549735,506.39714470383484,410.23835257555527,516.3903108977742,417.19359624653714,521.746647977726,426.46725447451274,524.3848438529259,435.4211313842827,525.344187807544
labeled-data/o1/img12930.png,409.1191179618338,506.39714470383484,410.39824323465825,516.3903108977742,417.4334322351916,521.8265933072773,426.46725447451274,524.3848438529259,435.4211313842827,525.344187807544
labeled-data/o1/img12987.png,407.6801020299067,502.3998782262591,409.8386259277977,511.35375513602884,414.4754550417854,518.1491081479077,422.310097337834,522.2263199550348,430.3845756225371,522.865882591447
labeled-data/o1/img13031.png,406.0811954388763,497.1234864758591,407.52021137080374,506.1573087151803,411.43753251882777,513.5922243634712,418.07299487160367,519.1084521025258,426.30736381540964,521.4268666595198
labeled-data/o1/img14860.png,567.1972791019556,453.53005672710833,561.5662580691859,447.56285533417326,555.1788312260443,442.3520597516105,548.119043662572,437.5614896192543,540.8071208289757,433.6954154773528
labeled-data/o1/img15098.png,582.6615756695613,477.9871779291373,578.8795466177013,470.0869394652517,574.0889764853453,463.0271519017794,568.6260456326582,456.3875897885137,562.4907540596406,450.33634330553747
labeled-data/o1/img16327.png,519.8187085831329,591.9994057744155,522.9632248788259,583.1705715595853,530.2198009458098,576.155881361501,537.9601487505922,569.987791704565,544.3701242764278,563.698759113179
labeled-data/o1/img17568.png,522.0134446404904,481.41511066749166,518.397455888468,488.5466440395358,517.5939028324627,496.481730467585,516.2881291164548,504.718149291636,514.3796906084433,512.3519033236831
