scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body1,Body1,Body2,Body2,Body3,Body3,Tail,Tail
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/211/img0054.png,959.2986709402752,644.7633863709265,970.1411248862617,630.8628043888925,979.1765031745836,615.9891816681163,988.350887282726,602.3666113257232,997.5252713908683,585.2688954878215
labeled-data/211/img0120.png,949.4231173738896,665.2934455364204,956.7236778821817,649.4147264308851,966.9444625937905,635.361147452423,975.567434899511,621.6725964993755,984.8756495475834,604.8813073303037
labeled-data/211/img0156.png,936.3269221674411,669.1262398032738,951.1105571967325,659.452997129787,960.6012858575123,644.8518761132027,969.1794444547555,630.6157831220331,979.5827431790716,614.1895219783761
labeled-data/211/img0244.png,919.353118985662,689.9328372519063,933.0416699387097,680.6246226038339,944.9050807646843,666.0235015872497,954.9433514635858,652.1524366214948,967.1717903149752,634.6310914015938
labeled-data/211/img0423.png,885.5880266348111,721.6902754629768,902.3793158038828,712.7470888403191,914.6077546552722,699.971107950808,926.8361935066613,686.2825569977604,940.1597164342944,671.6814359811762
labeled-data/211/img0462.png,874.0896438342511,726.618153806074,891.9760170795668,719.1350792850747,905.1170259944925,707.8192104972219,918.6230629348327,695.0432296077108,933.4066979641242,679.8945665530048
labeled-data/211/img0646.png,820.9780661364262,753.082685648633,838.6819253690344,751.0750315088526,853.6480744110331,742.6793869243169,869.7093075292757,732.4586022127078,887.0481387364694,720.9602194121478
labeled-data/211/img0672.png,817.6928139076947,766.7712366016806,829.5562247336693,754.907825775706,844.522373775668,747.059723229292,860.4010928812033,739.7591627209999,877.1923820502751,728.0782659077327
labeled-data/211/img0705.png,805.6468890690128,768.7788907414609,821.1605801491335,760.7482741823396,836.1267291911322,752.1701155850965,853.2830463856185,743.2269289624386,868.7967374657392,734.4662563524881
labeled-data/211/img0747.png,791.7758241032578,772.0641429701924,809.6621973485735,766.7712366016805,824.6283463905721,759.105648067974,840.1420374706928,750.3449754580234,855.6557285508135,739.9416767337073
labeled-data/211/img0750.png,793.0534221922089,772.9767130337289,811.8523655010611,765.6761525254368,827.0010285557671,757.4630219536082,840.6895795088147,749.6149194071942,855.4732145381062,740.1241907464146
labeled-data/211/img0758.png,789.0381139126483,772.7941990210215,809.5387107034499,767.2543193622627,824.4458323778649,758.9231340552666,839.4119814198635,750.0335428902366,855.6557285508135,739.9416767337073
