scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
bodyparts,Head,Head,Body1,Body1,Body2,Body2,Body3,Body3,Tail,Tail
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/241/img0131.png,948.6123790504839,498.67553698788674,946.3878165213612,482.5474586517462,944.1632539922384,465.3070990510442,941.3825508308346,447.51059881806157,943.6071133599576,430.27023921735963
labeled-data/241/img0168.png,946.3878165213611,512.0229121626238,948.0562384182033,492.55799003279895,945.2755352567998,473.6492085352549,943.0509727276769,454.7404270377108,944.1632539922382,437.5000674370088
labeled-data/241/img0228.png,950.280800947326,514.2474746917466,948.0562384182033,497.00711509104457,945.8316758890804,478.09833359350046,943.0509727276769,459.7456927282371,944.1632539922382,442.5053331275352
labeled-data/241/img0316.png,950.280800947326,528.707131131045,952.5053634764489,512.5790527949046,949.1685196827646,495.3386931942024,946.9439571536419,478.65447422578126,946.3878165213612,460.8579739927986
labeled-data/241/img0466.png,960.2913323283788,550.9527564222733,954.1737853732909,532.6001155570099,952.5053634764489,514.8036153240273,949.7246603150453,498.11939635560606,950.280800947326,480.87903675490406
labeled-data/241/img0556.png,962.5158948575017,565.4124128615717,958.066769799256,546.5036313640277,955.2860666378524,528.7071311310451,951.9492228441682,510.9106308980623,952.5053634764489,493.6702712973604
labeled-data/241/img0678.png,950.280800947326,552.0650376868348,956.9544885346945,539.8299437766591,954.7299260055718,524.8141467050801,950.280800947326,509.7983496335009,951.9492228441682,493.6702712973604
labeled-data/241/img0682.png,947.5000977859225,548.7281938931505,955.842207270133,538.1615218798171,953.6176447410103,524.2580060727993,951.3930822118875,508.68606836893946,951.3930822118875,494.2264119296411
labeled-data/241/img0911.png,920.8053474364485,562.6317097001681,935.265003875747,546.5036313640277,945.8316758890804,531.4878342924484,948.612379050484,514.8036153240273,943.0509727276769,497.00711509104457
labeled-data/241/img0938.png,920.8053474364485,564.3001315970102,933.0404413466242,548.1720532608698,943.6071133599577,535.9369593506941,949.1685196827648,520.921162279115,949.1685196827647,503.6808026784131
labeled-data/241/img1055.png,917.4685036427643,574.3106629780631,925.810613126975,557.6264440096419,938.0457070371505,541.4983656735012,948.0562384182032,525.3702873373608,949.1685196827647,506.46150583981665
labeled-data/241/img1063.png,916.3562223782028,574.3106629780631,926.3667537592556,556.5141627450804,938.6018476694312,540.9422250412206,948.0562384182032,525.3702873373607,948.6123790504839,505.90536520753597
labeled-data/241/img1350.png,896.891300248378,589.3264600496422,911.9070973199572,575.4229442426245,923.0299099655714,559.8510065387646,934.7088632434662,544.8352094671855,944.1632539922382,529.8194123956064
labeled-data/241/img1656.png,872.9772530603076,575.4229442426245,895.2228783515359,573.7545223457823,911.3509566876764,567.6369753906946,923.0299099655714,554.8457408482383,932.4843007143434,539.2738031443785
labeled-data/241/img1812.png,857.9614559887284,577.0913661394666,877.9825187508341,575.4229442426245,897.4474408806587,570.4176785520981,914.1316598490799,563.1878503324489,926.3667537592556,550.3966157899927
labeled-data/241/img1872.png,851.8439090336407,579.8720693008702,872.421112428027,575.4229442426245,890.7737532932904,570.417678552098,906.9018316294308,563.7439909647296,922.4737693332906,555.401881480519
labeled-data/241/img2377.png,850.1754871367986,619.9141948250812,859.6298778855706,603.22997585666,872.421112428027,588.2141787850808,887.436909499606,576.5352255071859,904.677269100308,569.3053972875367
labeled-data/241/img2786.png,855.7368934596054,637.7106950580638,851.8439090336406,622.1387573542039,862.9667216792548,603.7861164889407,875.7579562217111,588.7703194173615,891.8860345578515,577.0913661394666
labeled-data/241/img2791.png,855.7368934596055,637.7106950580638,854.0684715627633,619.3580541928006,864.6351435760969,601.5615539598177,877.4263781185532,588.2141787850808,893.5544564546936,576.5352255071859
labeled-data/241/img3270.png,834.0474088006579,627.700163677011,851.2877684013598,616.5773510313969,865.1912842083775,601.5615539598177,876.8702374862726,587.6580381528001,891.3298939255708,575.4229442426245
labeled-data/241/img3704.png,881.3193625445181,646.0528045422744,875.7579562217111,627.1440230447304,870.7526905311846,609.9036634440284,874.089534324869,593.775585107888,887.4369094996059,581.5404911977122
labeled-data/241/img3810.png,882.4316438090796,653.2826327619237,877.4263781185531,633.8177106320989,872.4211124280267,613.7966478699934,874.0895343248687,594.8878663724493,886.8807688673252,582.0966318299929
labeled-data/241/img3871.png,882.4316438090796,656.0633359233273,879.0948000153952,634.9299918966603,875.7579562217111,617.6896322959583,875.2018155894302,602.1176945920985,882.9877844413602,587.6580381528001
labeled-data/241/img3979.png,882.9877844413602,664.9615860398185,881.8755031767988,644.9405232777129,877.982518750834,624.3633198833269,874.6456749571497,606.0106790180635,882.4316438090796,588.2141787850808
